Time,X,Y,Vx,Vy,Ax,Ay
4.22,7.647693,2.292943,-1.358433,-3.762268,-1.251775,0.4472852
4.24,7.614676,2.219752,-1.398689,-3.747488,-2.012777,0.7389665
4.26,7.58162,2.146139,-1.437991,-3.732584,-1.9651,0.745225
4.28,7.55286,2.067563,-1.46835,-3.720746,-1.51794,0.591886
4.3,7.523493,1.989224,-1.512077,-3.703191,-2.186364,0.8777499
4.32,7.493252,1.911237,-1.514432,-3.702228,-0.1177371,0.04813671
4.34,7.461813,1.834381,-1.53534,-3.693607,-1.04543,0.4310727
4.36,7.431106,1.756585,-1.532815,-3.694655,0.1262844,-0.05241632
4.38,7.40045,1.678767,-1.52815,-3.696587,0.233233,-0.09660721
4.4,7.369887,1.600912,-1.439282,-3.732086,4.443389,-1.774931
4.42,7.341101,1.522346,-1.372897,-3.757014,3.319275,-1.246405
4.44,7.313643,1.443282,-1.201124,-3.815403,8.588642,-2.919459
4.46,7.289621,1.36305,-1.05197,-3.859192,7.457709,-2.189422
4.48,7.268581,1.281942,-0.9012648,-3.897143,7.535249,-1.89755
4.5,7.250556,1.200075,-0.769886,-3.92521,6.568939,-1.403379
4.52,7.235158,1.117647,-0.7471875,-3.929594,1.134926,-0.2191901
4.54,7.220215,1.035131,-0.6778392,-3.942148,3.467417,-0.6277204
4.56,7.206658,0.952364,-0.6523774,-3.946442,1.273087,-0.2146721
4.58,7.19361,0.8695112,-0.6459552,-3.947498,0.3211111,-0.05280972
4.6,7.180691,0.7866372,-0.6374621,-3.948879,0.4246533,-0.0690341
4.62,7.167942,0.7037356,-0.6059132,-3.953842,1.577446,-0.2481818
4.64,7.155824,0.6207348,-0.6189632,-3.95182,-0.652501,0.1011133
4.66,7.143445,0.5377744,-0.5588425,-3.96077,3.006038,-0.4474759
4.68,7.132267,0.454635,-0.4363734,-3.976126,6.123456,-0.7678151
4.7,7.12354,0.3711885,-0.3126699,-3.987761,6.185171,-0.5817413
4.72,7.117287,0.2875093,-0.1922674,-3.995376,6.020125,-0.3807783
4.74,7.113441,0.2036777,-0.1397313,-3.997559,2.626807,-0.1091242
4.76,7.110647,0.1198026,-0.08666772,-3.999061,2.653179,-0.07510185
4.78,7.108913,0.03589734,-0.01086656,-3.999985,3.790058,-0.04622936
4.8,7.108696,-0.04802637,0.04210974,-3.999779,2.648815,0.01034737
4.82,7.109538,-0.1319459,0.05086344,-3.999676,0.4376849,0.005102158
4.84,7.110555,-0.2158635,0.1061346,-3.998592,2.763558,0.05424023
